"current electricity consumption";"tick"
800.0;475.0
800.0;477.0
800.0;479.0
800.0;481.0
800.0;483.0
800.0;485.0
800.0;487.0
800.0;489.0
800.0;491.0
800.0;493.0
800.0;495.0
800.0;497.0
800.0;499.0
800.0;501.0
800.0;503.0
800.0;505.0
800.0;507.0
800.0;509.0
800.0;511.0
800.0;513.0
800.0;515.0
800.0;517.0
800.0;519.0
800.0;521.0
800.0;523.0
800.0;525.0
800.0;527.0
800.0;529.0
800.0;531.0
800.0;533.0
800.0;535.0
800.0;537.0
800.0;539.0
800.0;541.0
800.0;543.0
700.0;545.0
700.0;547.0
700.0;549.0
700.0;551.0
700.0;553.0
700.0;555.0
700.0;557.0
700.0;559.0
600.0;561.0
600.0;563.0
600.0;565.0
600.0;567.0
600.0;569.0
600.0;571.0
500.0;573.0
500.0;575.0
400.0;577.0
400.0;579.0
400.0;581.0
300.0;583.0
300.0;585.0
300.0;587.0
300.0;589.0
300.0;591.0
300.0;593.0
300.0;595.0
200.0;597.0
200.0;599.0
200.0;601.0
200.0;603.0
200.0;605.0
200.0;607.0
200.0;609.0
200.0;611.0
200.0;613.0
200.0;615.0
200.0;617.0
200.0;619.0
200.0;621.0
200.0;623.0
200.0;625.0
200.0;627.0
200.0;629.0
200.0;631.0
200.0;633.0
200.0;635.0
200.0;637.0
200.0;639.0
200.0;641.0
200.0;643.0
200.0;645.0
200.0;647.0
200.0;649.0
200.0;651.0
200.0;653.0
200.0;655.0
200.0;657.0
200.0;659.0
200.0;661.0
200.0;663.0
200.0;665.0
200.0;667.0
200.0;669.0
200.0;671.0
200.0;673.0
200.0;675.0
200.0;677.0
200.0;679.0
200.0;681.0
200.0;683.0
200.0;685.0
200.0;687.0
200.0;689.0
200.0;691.0
200.0;693.0
200.0;695.0
200.0;697.0
200.0;699.0
200.0;701.0
200.0;703.0
200.0;705.0
200.0;707.0
200.0;709.0
200.0;711.0
200.0;713.0
100.0;715.0
100.0;717.0
100.0;719.0
100.0;721.0
0.0;723.0
0.0;725.0
0.0;727.0
0.0;729.0
0.0;731.0
0.0;733.0
0.0;735.0
0.0;737.0
0.0;739.0
0.0;741.0
0.0;743.0
0.0;745.0
0.0;747.0
0.0;749.0
0.0;751.0
0.0;753.0
0.0;755.0
0.0;757.0
0.0;759.0
0.0;761.0
0.0;763.0
0.0;765.0
0.0;767.0
0.0;769.0
0.0;771.0
0.0;773.0
0.0;775.0
0.0;777.0
100.0;779.0
100.0;781.0
100.0;783.0
100.0;785.0
100.0;787.0
100.0;789.0
100.0;791.0
100.0;793.0
100.0;795.0
100.0;797.0
100.0;799.0
100.0;801.0
100.0;803.0
200.0;805.0
200.0;807.0
200.0;809.0
200.0;811.0
200.0;813.0
200.0;815.0
200.0;817.0
200.0;819.0
300.0;821.0
300.0;823.0
300.0;825.0
300.0;827.0
400.0;829.0
400.0;831.0
400.0;833.0
400.0;835.0
400.0;837.0
400.0;839.0
400.0;841.0
400.0;843.0
400.0;845.0
400.0;847.0
400.0;849.0
400.0;851.0
400.0;853.0
400.0;855.0
400.0;857.0
500.0;859.0
500.0;861.0
500.0;863.0
500.0;865.0
500.0;867.0
500.0;869.0
500.0;871.0
500.0;873.0
500.0;875.0
500.0;877.0
500.0;879.0
500.0;881.0
500.0;883.0
500.0;885.0
500.0;887.0
500.0;889.0
500.0;891.0
500.0;893.0
500.0;895.0
500.0;897.0
500.0;899.0
500.0;901.0
500.0;903.0
500.0;905.0
500.0;907.0
500.0;909.0
500.0;911.0
500.0;913.0
500.0;915.0
500.0;917.0
500.0;919.0
500.0;921.0
500.0;923.0
500.0;925.0
500.0;927.0
500.0;929.0
500.0;931.0
500.0;933.0
500.0;935.0
500.0;937.0
500.0;939.0
500.0;941.0
500.0;943.0
500.0;945.0
500.0;947.0
500.0;949.0
500.0;951.0
500.0;953.0
500.0;955.0
500.0;957.0
500.0;959.0
500.0;961.0
500.0;963.0
500.0;965.0
500.0;967.0
500.0;969.0
500.0;971.0
500.0;973.0
500.0;975.0
500.0;977.0
500.0;979.0
500.0;981.0
500.0;983.0
500.0;985.0
500.0;987.0
500.0;989.0
500.0;991.0
500.0;993.0
500.0;995.0
500.0;997.0
500.0;999.0
500.0;1001.0
500.0;1003.0
500.0;1005.0
500.0;1007.0
500.0;1009.0
500.0;1011.0
500.0;1013.0
500.0;1015.0
500.0;1017.0
500.0;1019.0
500.0;1021.0
500.0;1023.0
500.0;1025.0
500.0;1027.0
500.0;1029.0
500.0;1031.0
500.0;1033.0
500.0;1035.0
500.0;1037.0
500.0;1039.0
500.0;1041.0
500.0;1043.0
500.0;1045.0
500.0;1047.0
500.0;1049.0
500.0;1051.0
500.0;1053.0
500.0;1055.0
500.0;1057.0
500.0;1059.0
500.0;1061.0
500.0;1063.0
500.0;1065.0
500.0;1067.0
500.0;1069.0
500.0;1071.0
500.0;1073.0
600.0;1075.0
600.0;1077.0
600.0;1079.0
600.0;1081.0
600.0;1083.0
600.0;1085.0
600.0;1087.0
600.0;1089.0
600.0;1091.0
600.0;1093.0
600.0;1095.0
600.0;1097.0
600.0;1099.0
600.0;1101.0
600.0;1103.0
600.0;1105.0
