"Average Speed of Drones";"tick"
13.636872249548974;251.0
13.606967009743629;253.0
13.570805767781525;255.0
13.53677882804989;257.0
13.508551011383501;259.0
13.486676104634794;261.0
13.470187708246701;263.0
13.461090556251929;265.0
13.45558916214256;267.0
13.453491537804073;269.0
13.451836960877626;271.0
13.451853663801627;273.0
13.455709097744988;275.0
13.461370823297196;277.0
13.469759440671194;279.0
13.481482702233981;281.0
13.49766757219027;283.0
13.518359064783569;285.0
13.54370643002827;287.0
13.573246733354614;289.0
13.606256760394375;291.0
13.641976368321547;293.0
13.67970959820277;295.0
13.718863852805882;297.0
13.75753101603705;299.0
13.794618576075399;301.0
13.83186349445;303.0
13.867607201636094;305.0
13.898703309815026;307.0
13.927473898696736;309.0
13.95434113879117;311.0
13.977473780602327;313.0
13.998795168397306;315.0
14.018806630054678;317.0
14.036401749751304;319.0
14.049900690882934;321.0
14.057184477733072;323.0
14.06237754222633;325.0
14.064813476934825;327.0
14.064712979708064;329.0
14.061109168436854;331.0
14.056125980417328;333.0
14.047572613197627;335.0
14.03656885778539;337.0
14.022686555109152;339.0
14.000301364968106;341.0
13.974739015083319;343.0
13.95237043950628;345.0
13.928932979225047;347.0
13.907778611798893;349.0
13.888661828947471;351.0
13.872877460276682;353.0
13.858730604207189;355.0
13.84936846517341;357.0
13.845615487325254;359.0
13.845135250541459;361.0
13.848149414276982;363.0
13.854413286744203;365.0
13.863318390786926;367.0
13.874040851452001;369.0
13.885981184557037;371.0
13.897869932421626;373.0
13.91193636752287;375.0
13.926499551748453;377.0
13.93884354852573;379.0
13.953274615158135;381.0
13.969605803345884;383.0
13.985133881476164;385.0
13.997843481072442;387.0
14.012980916164393;389.0
14.029561325861666;391.0
14.046553084564284;393.0
14.062816212023211;395.0
14.07948537375747;397.0
14.09649676673203;399.0
14.113548819383817;401.0
14.127623811149428;403.0
14.139595169013802;405.0
14.150488236925328;407.0
14.159557890734085;409.0
14.166521731406778;411.0
14.172622300803459;413.0
14.171638769092668;415.0
14.169363564691837;417.0
14.163714500667574;419.0
14.158005982019475;421.0
14.151032438983073;423.0
14.143352210840398;425.0
14.136187364710635;427.0
14.130188623630367;429.0
14.122905636105688;431.0
14.114215727084467;433.0
14.106273209580625;435.0
14.101381330314934;437.0
14.094273794299813;439.0
14.086052740400923;441.0
14.07699401276315;443.0
14.065612079220061;445.0
14.05309545893968;447.0
14.038568506106083;449.0
14.02577428910875;451.0
14.013790373739491;453.0
14.005193204713475;455.0
13.996961082443322;457.0
13.989719445766573;459.0
13.984572449497845;461.0
13.980212449589255;463.0
13.977017952713478;465.0
13.974841176384407;467.0
13.971966275477927;469.0
13.968991263736388;471.0
13.966125534547068;473.0
13.961884107224437;475.0
13.955664608643229;477.0
13.944808229899419;479.0
13.933324652071054;481.0
13.920180174628989;483.0
13.906302804642001;485.0
13.893343867363198;487.0
13.88140854432776;489.0
13.872002934675532;491.0
13.86368317078593;493.0
13.857937029402992;495.0
13.854848068886872;497.0
13.853388004692942;499.0
13.854837046704969;501.0
13.85758021807601;503.0
13.860228227807559;505.0
13.862903598656025;507.0
13.859102935048442;509.0
13.851375376094971;511.0
13.840279057008447;513.0
13.829738027495804;515.0
13.821128532110619;517.0
13.815661203170738;519.0
13.811491049193785;521.0
13.808484302530502;523.0
13.80520977139371;525.0
13.801995093342569;527.0
13.797751765408494;529.0
13.79309412744711;531.0
13.783181929159076;533.0
13.770056266142559;535.0
13.756929607612555;537.0
13.740804990799365;539.0
13.721409442633123;541.0
13.698068532852428;543.0
13.671358610180121;545.0
13.641509049909368;547.0
13.610848809986278;549.0
13.57864855057933;551.0
13.546766601847507;553.0
13.515967440744319;555.0
13.485194318012796;557.0
13.454537211002645;559.0
13.423827908540622;561.0
13.393844746383236;563.0
13.359253175950345;565.0
13.323060627423981;567.0
13.287922376701722;569.0
13.255034006681544;571.0
13.223197121163897;573.0
13.192113171693057;575.0
13.157015506960104;577.0
13.119668891470495;579.0
13.084417496193407;581.0
13.04628113747413;583.0
13.006509960319843;585.0
12.967276377372789;587.0
12.928298279862748;589.0
12.88831035725855;591.0
12.849337042512612;593.0
12.810481068136811;595.0
12.769872751669642;597.0
12.728720650452935;599.0
12.688623746902907;601.0
12.647986338309936;603.0
12.608100237976974;605.0
