"total electricity consumption";"tick"
14.086111111111196;861.0
14.141666666666753;865.0
14.19722222222231;869.0
14.252777777777867;873.0
14.308333333333424;877.0
14.363888888888981;881.0
14.419444444444538;885.0
14.475000000000096;889.0
14.530555555555653;893.0
14.58611111111121;897.0
14.641666666666767;901.0
14.697222222222324;905.0
14.752777777777881;909.0
14.808333333333438;913.0
14.863888888888996;917.0
14.919444444444553;921.0
14.97500000000011;925.0
15.030555555555667;929.0
15.086111111111224;933.0
15.141666666666781;937.0
15.197222222222338;941.0
15.252777777777895;945.0
15.308333333333453;949.0
15.36388888888901;953.0
15.419444444444567;957.0
15.475000000000124;961.0
15.530555555555681;965.0
15.586111111111238;969.0
15.641666666666795;973.0
15.697222222222353;977.0
15.75277777777791;981.0
15.808333333333467;985.0
15.863888888889024;989.0
15.919444444444581;993.0
15.975000000000138;997.0
16.030555555555694;1001.0
16.08611111111125;1005.0
16.141666666666808;1009.0
16.197222222222365;1013.0
16.252777777777922;1017.0
16.30833333333348;1021.0
16.363888888889036;1025.0
16.419444444444594;1029.0
16.47500000000015;1033.0
16.530555555555708;1037.0
16.586111111111265;1041.0
16.641666666666822;1045.0
16.69722222222238;1049.0
16.752777777777936;1053.0
16.808333333333493;1057.0
16.86388888888905;1061.0
16.919444444444608;1065.0
16.975000000000165;1069.0
17.030555555555722;1073.0
17.09444444444461;1077.0
17.16111111111127;1081.0
17.227777777777934;1085.0
17.294444444444597;1089.0
17.36111111111126;1093.0
17.427777777777923;1097.0
17.494444444444586;1101.0
17.56111111111125;1105.0
17.62777777777791;1109.0
17.694444444444574;1113.0
17.761111111111237;1117.0
17.8277777777779;1121.0
17.894444444444563;1125.0
17.966666666666786;1129.0
18.052777777777898;1133.0
18.141666666666787;1137.0
18.230555555555675;1141.0
18.319444444444564;1145.0
18.408333333333452;1149.0
18.49722222222234;1153.0
18.58611111111123;1157.0
18.675000000000118;1161.0
18.763888888889007;1165.0
18.852777777777895;1169.0
18.941666666666784;1173.0
19.030555555555672;1177.0
19.11944444444456;1181.0
19.20833333333345;1185.0
19.297222222222338;1189.0
19.386111111111227;1193.0
19.475000000000115;1197.0
19.563888888889004;1201.0
19.652777777777892;1205.0
19.74166666666678;1209.0
19.83055555555567;1213.0
19.919444444444558;1217.0
20.008333333333447;1221.0
20.097222222222335;1225.0
20.186111111111224;1229.0
20.275000000000112;1233.0
20.363888888889;1237.0
20.45277777777789;1241.0
20.541666666666778;1245.0
20.630555555555667;1249.0
20.719444444444555;1253.0
20.808333333333444;1257.0
20.897222222222332;1261.0
20.98611111111122;1265.0
21.07500000000011;1269.0
21.163888888888998;1273.0
21.252777777777887;1277.0
21.341666666666775;1281.0
21.430555555555664;1285.0
21.519444444444552;1289.0
21.60833333333344;1293.0
21.69722222222233;1297.0
21.772222222222332;1301.0
21.838888888888995;1305.0
21.905555555555658;1309.0
21.97222222222232;1313.0
22.038888888888984;1317.0
22.105555555555647;1321.0
22.17222222222231;1325.0
22.238888888888972;1329.0
22.305555555555635;1333.0
22.366666666666745;1337.0
22.411111111111197;1341.0
22.452777777777868;1345.0
22.4861111111112;1349.0
22.51944444444453;1353.0
22.552777777777862;1357.0
22.586111111111194;1361.0
22.619444444444525;1365.0
22.652777777777857;1369.0
22.686111111111188;1373.0
22.71944444444452;1377.0
22.75277777777785;1381.0
22.786111111111182;1385.0
22.819444444444514;1389.0
22.852777777777845;1393.0
22.886111111111177;1397.0
22.91944444444451;1401.0
22.95277777777784;1405.0
22.98611111111117;1409.0
23.019444444444503;1413.0
23.052777777777834;1417.0
23.086111111111165;1421.0
23.119444444444497;1425.0
23.15277777777783;1429.0
23.18611111111116;1433.0
23.21944444444449;1437.0
23.252777777777823;1441.0
23.286111111111154;1445.0
23.319444444444485;1449.0
23.352777777777817;1453.0
23.38611111111115;1457.0
23.41944444444448;1461.0
23.45277777777781;1465.0
23.486111111111143;1469.0
23.519444444444474;1473.0
23.552777777777806;1477.0
23.586111111111137;1481.0
23.61944444444447;1485.0
23.6527777777778;1489.0
23.68611111111113;1493.0
23.719444444444463;1497.0
23.752777777777794;1501.0
23.786111111111126;1505.0
23.819444444444457;1509.0
23.85277777777779;1513.0
23.88611111111112;1517.0
23.91944444444445;1521.0
23.952777777777783;1525.0
23.986111111111114;1529.0
24.019444444444446;1533.0
24.055555555555557;1537.0
24.10000000000001;1541.0
24.14444444444446;1545.0
24.18888888888891;1549.0
24.233333333333363;1553.0
24.277777777777814;1557.0
24.322222222222265;1561.0
24.377777777777823;1565.0
24.43333333333338;1569.0
24.488888888888937;1573.0
24.544444444444494;1577.0
24.60000000000005;1581.0
24.65555555555561;1585.0
24.713888888888942;1589.0
24.780555555555605;1593.0
24.847222222222268;1597.0
24.902777777777825;1601.0
24.963888888888935;1605.0
25.030555555555598;1609.0
25.09722222222226;1613.0
25.163888888888923;1617.0
25.21944444444448;1621.0
25.269444444444485;1625.0
25.313888888888936;1629.0
25.358333333333388;1633.0
25.40277777777784;1637.0
25.44722222222229;1641.0
25.49166666666674;1645.0
25.536111111111193;1649.0
25.580555555555645;1653.0
25.625000000000096;1657.0
25.669444444444547;1661.0
25.713888888889;1665.0
25.75833333333345;1669.0
25.8027777777779;1673.0
25.847222222222353;1677.0
25.891666666666804;1681.0
25.936111111111256;1685.0
25.980555555555707;1689.0
26.02500000000016;1693.0
26.06944444444461;1697.0
26.11388888888906;1701.0
26.158333333333513;1705.0
26.202777777777964;1709.0
26.247222222222415;1713.0
26.291666666666867;1717.0
26.336111111111318;1721.0
26.38055555555577;1725.0
26.42500000000022;1729.0
26.469444444444672;1733.0
26.513888888889124;1737.0
26.558333333333575;1741.0
26.602777777778027;1745.0
26.647222222222478;1749.0
26.69166666666693;1753.0
26.73611111111138;1757.0
26.780555555555832;1761.0
26.825000000000284;1765.0
26.869444444444735;1769.0
26.913888888889186;1773.0
26.958333333333638;1777.0
27.00277777777809;1781.0
27.04722222222254;1785.0
