"total distance of drones";"distance per drone";"tick"
5305.5159607453315;663.1894950931664;475.0
5325.481614658302;665.6852018322877;477.0
5343.650513697503;667.9563142121879;479.0
5361.543326116987;670.1929157646234;481.0
5378.757619476688;672.344702434586;483.0
5395.645488201143;674.4556860251429;485.0
5412.846770724749;676.6058463405936;487.0
5430.407022541067;678.8008778176334;489.0
5448.9227527405965;681.1153440925746;491.0
5467.836642558018;683.4795803197522;493.0
5487.743063643633;685.9678829554541;495.0
5508.687592189469;688.5859490236836;497.0
5530.272491473471;691.2840614341839;499.0
5553.0186883194;694.127336039925;501.0
5576.290279753835;697.0362849692294;503.0
5599.5322040343035;699.9415255042879;505.0
5622.793699614934;702.8492124518667;507.0
5643.426715151776;705.428339393972;509.0
5662.442253747675;707.8052817184594;511.0
5680.050524996317;710.0063156245396;513.0
5697.852067328322;712.2315084160402;515.0
5716.418760881003;714.5523451101254;517.0
5736.262531556542;717.0328164445677;519.0
5756.629469304022;719.5786836630027;521.0
5777.469832178815;722.1837290223518;523.0
5798.188103985411;724.7735129981763;525.0
5818.92113135328;727.36514141916;527.0
5839.2085471209275;729.9010683901159;529.0
5859.306385339586;732.4132981674483;531.0
5877.148774593484;734.6435968241855;533.0
5893.584081909069;736.6980102386336;535.0
5909.976959430408;738.747119928801;537.0
5925.0351120327405;740.6293890040926;539.0
5938.62600677167;742.3282508464588;541.0
5950.440970671149;743.8051213338937;543.0
5960.712354038588;745.0890442548235;545.0
5969.524360240395;746.1905450300494;547.0
5977.884797346029;747.2355996682536;549.0
5985.468281095425;748.1835351369281;551.0
5993.089544657393;749.1361930821741;553.0
6001.089543690534;750.1361929613167;555.0
6009.0025881065585;751.1253235133198;557.0
6016.869040760439;752.1086300950549;559.0
6024.613965353087;753.0767456691359;561.0
6032.587673771066;754.0734592213832;563.0
6038.382435529613;754.7978044412016;565.0
6043.340300599575;755.4175375749469;567.0
6048.662265874681;756.0827832343351;569.0
6054.899534252187;756.8624417815233;571.0
6061.513560341588;757.6891950426985;573.0
6068.372058978864;758.546507372358;575.0
6073.278358012842;759.1597947516052;577.0
6077.0306305291915;759.6288288161489;579.0
6081.637252230754;760.2046565288442;581.0
