"Current Speed of Drones";"tick"
12.615011660981388;435.0
13.000689161557283;437.0
12.349036320630265;439.0
12.335326307840225;441.0
11.92621766196591;443.0
11.663315861248455;445.0
11.526384845633121;447.0
10.548491451588598;449.0
11.023381552827995;451.0
11.2607847553116;453.0
12.521345869313853;455.0
12.411659141570315;457.0
12.48781143802648;459.0
13.203901429502867;461.0
13.207409833431038;463.0
13.653722884702594;465.0
13.670072135615104;467.0
13.648555314317619;469.0
13.526318246166426;471.0
13.3582070494084;473.0
12.972448604617954;475.0
12.401174541553003;477.0
11.111342088998871;479.0
11.346487261858234;481.0
10.95561107071595;483.0
10.653133961116126;485.0
10.85184783568867;487.0
11.28627960749213;489.0
11.56858622685811;491.0
11.862910468550917;493.0
12.549485081845216;495.0
13.354360461283274;497.0
13.66540159861298;499.0
14.460158358168758;501.0
14.609088537346734;503.0
14.653535184779276;505.0
14.151745439371865;507.0
12.634672827201085;509.0
11.55040169395299;511.0
11.025363416504124;513.0
11.363114995455692;515.0
11.984774130592358;517.0
12.385193038455087;519.0
12.955418873435834;521.0
13.302488853685372;523.0
13.256986206011671;525.0
13.11012022157007;527.0
13.036281921799961;529.0
12.507307646667808;531.0
11.040224004728064;533.0
10.152072721754152;535.0
10.276094273110527;537.0
9.492600711446087;539.0
8.60811958671988;541.0
7.367719920010481;543.0
6.3279748118941255;545.0
5.595366389336776;547.0
5.515664297118567;549.0
4.723207958842445;551.0
4.83137314130109;553.0
5.143558001670869;555.0
4.781127910956935;557.0
4.946732622535752;559.0
5.012864766277954;561.0
4.808589200150979;563.0
3.260182156511387;565.0
3.267549445156967;567.0
3.2158813984426904;569.0
4.127526143990337;571.0
4.169049539558987;573.0
4.451522198770367;575.0
2.7713409634117894;577.0
2.3512362249332583;579.0
3.1382736324405966;581.0
2.064391795822026;583.0
1.5355413708376706;585.0
1.3601201373216227;587.0
1.3698777002592561;589.0
0.9979784585046908;591.0
1.5124469777062295;593.0
1.2171517774268148;595.0
0.30067339594186454;597.0
0.6924044050265583;599.0
0.6758543357663661;601.0
0.20507843883628227;603.0
